,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
343,Cardiff,Liverpool,0,2,1,1
344,Everton,Man United,4,0,1,1
345,Chelsea,Burnley,2,2,2,1
346,Tottenham,Brighton,1,0,1,2
347,Watford,Southampton,1,1,5,2
348,Man United,Man City,0,2,2,2
349,Wolves,Arsenal,3,1,2,3
350,Liverpool,Huddersfield,5,0,0,0
351,Brighton,Newcastle,1,1,2,3
352,Crystal Palace,Everton,0,0,2,0
353,Fulham,Cardiff,1,0,0,0
354,Southampton,Bournemouth,3,3,2,1
355,Tottenham,West Ham,0,1,0,2
356,Watford,Wolves,1,2,3,2
357,Burnley,Man City,0,1,1,1
358,Leicester,Arsenal,3,0,3,1
359,Man United,Chelsea,1,1,3,2
360,Everton,Burnley,2,0,0,2
361,Bournemouth,Tottenham,1,0,1,5
362,Cardiff,Crystal Palace,2,3,0,0
363,Newcastle,Liverpool,2,3,1,1
364,West Ham,Southampton,3,0,1,1
365,Wolves,Fulham,1,0,1,3
366,Arsenal,Brighton,1,1,5,2
367,Chelsea,Watford,3,0,0,1
368,Huddersfield,Man United,1,1,1,1
369,Man City,Leicester,1,0,3,2
370,Brighton,Man City,1,4,0,0
371,Burnley,Arsenal,1,3,5,1
372,Crystal Palace,Bournemouth,5,3,3,0
373,Fulham,Newcastle,0,4,1,0
374,Leicester,Chelsea,0,0,0,1
375,Liverpool,Wolves,2,0,0,2
376,Man United,Cardiff,0,2,3,3
377,Southampton,Huddersfield,1,1,0,1
378,Tottenham,Everton,2,2,0,2
379,Watford,West Ham,1,4,1,0
